scenario,flow_type,strategy_name,regime,metric,sample_count,mean,stddev,median,p05,p95,ci95_low,ci95_high
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,fill_rate_by_quote_count,2,0.5305,0.0473761543395,0.5305,0.497,0.564,0.46484,0.59616
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,fill_rate_by_submitted_size,2,0.5153,0.0459619407771,0.5153,0.4828,0.5478,0.4516,0.579
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,average_quote_lifetime,2,6.558,0.353553390593,6.558,6.308,6.808,6.068,7.048
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,average_initial_queue_ahead,2,53.935,18.0877914628,53.935,41.145,66.725,28.8666,79.0034
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,percent_quotes_submitted_at_best,2,0.888,0.0565685424949,0.888,0.848,0.928,0.8096,0.9664
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,external_execution_events_count,2,1231,25.4558441227,1231,1213,1249,1195.72,1266.28
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,maker_eligible_execution_events,2,556.5,64.346717088,556.5,511,602,467.32,645.68
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,maker_reached_by_execution_events,2,559,55.1543289326,559,520,598,482.56,635.44
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,maker_missed_due_to_queue_events,2,12.5,2.12132034356,12.5,11,14,9.56,15.44
as_risk_aversion_high,hand_chosen,avellaneda stoikov,high volatility,maker_missed_due_to_quote_not_at_touched_price,2,659,31.1126983722,659,637,681,615.88,702.12
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,fill_rate_by_quote_count,2,0.751,0.00848528137424,0.751,0.745,0.757,0.73924,0.76276
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,fill_rate_by_submitted_size,2,0.73405,0.0120915259583,0.73405,0.7255,0.7426,0.717292,0.750808
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,average_quote_lifetime,2,5.097,0.17253405461,5.097,4.975,5.219,4.85788,5.33612
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,average_initial_queue_ahead,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,percent_quotes_submitted_at_best,2,1,0,1,1,1,1,1
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,external_execution_events_count,2,1293,14.1421356237,1293,1283,1303,1273.4,1312.6
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,maker_eligible_execution_events,2,789.5,12.0208152802,789.5,781,798,772.84,806.16
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,maker_reached_by_execution_events,2,789.5,12.0208152802,789.5,781,798,772.84,806.16
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,maker_missed_due_to_queue_events,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand_chosen,avellaneda stoikov,low volatility,maker_missed_due_to_quote_not_at_touched_price,2,502.5,0.707106781187,502.5,502,503,501.52,503.48
as_risk_aversion_high,hand_chosen,avellaneda stoikov,trending,fill_rate_by_quote_count,2,0.5345,0.0205060966544,0.5345,0.52,0.549,0.50608,0.56292
as_risk_aversion_high,hand_chosen,avellaneda stoikov,trending,fill_rate_by_submitted_size,2,0.51985,0.0201525432638,0.51985,0.5056,0.5341,0.49192,0.54778
as_risk_aversion_high,hand_chosen,avellaneda stoikov,trending,average_quote_lifetime,2,6.5075,0.202939646201,6.5075,6.364,6.651,6.22624,6.78876
as_risk_aversion_high,hand_chosen,avellaneda stoikov,trending,average_initial_queue_ahead,2,67.497,14.3627529395,67.497,57.341,77.653,47.59124,87.40276
as_risk_aversion_high,hand_chosen,avellaneda stoikov,trending,percent_quotes_submitted_at_best,2,0.8305,0.0106066017178,0.8305,0.823,0.838,0.8158,0.8452
