comparison,scenario,regime,seed_index,metric,left_value,right_value,delta
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,fill_rate,0.5341,0.5311,0.003
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,gross_spread_capture,40228.2043722,41993.1360019,-1764.9316297
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,inventory_pnl,66392.32786,69089.8291557,-2697.5012957
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,adverse_selection_cost,2720.45090807,2174.05730488,546.39360319
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,fee_pnl,106.82,106.22,0.6
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,net_pnl_after_fees,106727.352232,111189.185158,-4461.832926
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,risk_adjusted_pnl,5.34112157547,5.46589585357,-0.1247742781
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,maximum_drawdown,19982.1986308,20342.3534104,-360.1547796
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,inventory_variance,348640.365196,361750.214576,-13109.84938
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,pre_liquidation_inventory,1797,1827,-30
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,final_inventory,1797,1827,-30
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,maker_fills,570,567,3
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,0,market_maker_filled_quantity,5341,5311,30
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,fill_rate,0.5056,0.5036,0.002
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,gross_spread_capture,43377.5278289,44942.9886653,-1565.4608364
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,inventory_pnl,53780.5758762,53507.1150398,273.4608364
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,adverse_selection_cost,2940.38157691,2478.70778278,461.67379413
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,fee_pnl,101.12,100.72,0.4
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,net_pnl_after_fees,97259.2237051,98550.8237051,-1291.6
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,risk_adjusted_pnl,2.9699848615,3.01034544738,-0.04036058588
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,maximum_drawdown,32747.3802866,32737.3802866,10
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,inventory_variance,403484.272042,404409.75585,-925.483808
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,pre_liquidation_inventory,1918,1918,0
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,final_inventory,1918,1918,0
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,maker_fills,540,538,2
avellaneda_stoikov_minus_naive,as_risk_aversion_high,trending,1,market_maker_filled_quantity,5056,5036,20
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,fill_rate,0.5341,0.5311,0.003
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,gross_spread_capture,40319.2043722,41993.1360019,-1673.9316297
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,inventory_pnl,66392.32786,69089.8291557,-2697.5012957
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,adverse_selection_cost,2667.72232151,2174.05730488,493.66501663
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,fee_pnl,106.82,106.22,0.6
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,net_pnl_after_fees,106818.352232,111189.185158,-4370.832926
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,risk_adjusted_pnl,5.34567562889,5.46589585357,-0.12022022468
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,maximum_drawdown,19982.1986308,20342.3534104,-360.1547796
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,inventory_variance,348640.365196,361750.214576,-13109.84938
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,pre_liquidation_inventory,1797,1827,-30
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,final_inventory,1797,1827,-30
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,maker_fills,570,567,3
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,0,market_maker_filled_quantity,5341,5311,30
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,fill_rate,0.5056,0.5036,0.002
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,gross_spread_capture,43399.5278289,44942.9886653,-1543.4608364
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,inventory_pnl,53780.5758762,53507.1150398,273.4608364
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,adverse_selection_cost,2933.34835045,2478.70778278,454.64056767
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,fee_pnl,101.12,100.72,0.4
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,net_pnl_after_fees,97281.2237051,98550.8237051,-1269.6
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,risk_adjusted_pnl,2.97065667097,3.01034544738,-0.03968877641
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,maximum_drawdown,32747.3802866,32737.3802866,10
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,inventory_variance,403484.272042,404409.75585,-925.483808
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,pre_liquidation_inventory,1918,1918,0
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,final_inventory,1918,1918,0
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,maker_fills,540,538,2
avellaneda_stoikov_minus_naive,as_risk_aversion_low,trending,1,market_maker_filled_quantity,5056,5036,20
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,fill_rate,0.5341,0.5311,0.003
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,gross_spread_capture,40289.2043722,41993.1360019,-1703.9316297
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,inventory_pnl,66392.32786,69089.8291557,-2697.5012957
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,adverse_selection_cost,2677.72232151,2174.05730488,503.66501663
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,fee_pnl,106.82,106.22,0.6
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,net_pnl_after_fees,106788.352232,111189.185158,-4400.832926
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,risk_adjusted_pnl,5.34417429259,5.46589585357,-0.12172156098
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,maximum_drawdown,19982.1986308,20342.3534104,-360.1547796
avellaneda_stoikov_minus_naive,hand_chosen_flow,trending,0,inventory_variance,348640.365196,361750.214576,-13109.84938
