scenario,flow_type,strategy_name,regime,seed,seed_index,fill_rate,gross_spread_capture,inventory_pnl,adverse_selection_cost,fee_pnl,net_pnl_after_fees,terminal_liquidation_cost,terminal_inventory_penalty,risk_adjusted_pnl,maximum_drawdown,inventory_variance,pre_liquidation_inventory,final_inventory,maker_fills,market_maker_filled_quantity
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,3001,0,0.7255,36416.6463049,-3818.23235197,458.945761404,145.1,32743.5139529,0,0,10.9793733286,2982.27530597,12554.8010624,-265,-265,781,7255
hand_chosen_flow,hand-chosen,naive symmetric,low volatility,4001,1,0.7426,37293.4865856,-1431.41049498,201.68513148,148.52,36010.5960906,0,0,21.3617254202,1685.75315815,7886.838079,190,190,798,7426
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,3002,0,0.484,40864.5820968,-84434.3555432,7666.55032339,96.8,-43472.9734464,0,0,-0.54795994039,79336.0430973,169947.466089,426,426,521,4840
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,4002,1,0.5425,33039.8950084,-14607.6879095,10927.5545928,108.5,18540.7070988,0,0,0.636751268312,29117.6602569,48169.90711,-423,-423,592,5425
hand_chosen_flow,hand-chosen,naive symmetric,trending,3003,0,0.5311,41993.1360019,69089.8291557,2174.05730488,106.22,111189.185158,0,0,5.46589585357,20342.3534104,361750.214576,1827,1827,567,5311
hand_chosen_flow,hand-chosen,naive symmetric,trending,4003,1,0.5036,44942.9886653,53507.1150398,2478.70778278,100.72,98550.8237051,0,0,3.01034544738,32737.3802866,404409.75585,1918,1918,538,5036
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,3001,0,0.7255,32732.6463049,-3818.23235197,644.848847049,145.1,29059.5139529,0,0,9.05203173661,3210.27530597,12554.8010624,-265,-265,781,7255
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,4001,1,0.7426,33453.4865856,-1431.41049498,406.978472606,148.52,32170.5960906,0,0,18.5661736869,1732.75315815,7886.838079,190,190,798,7426
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,3002,0,0.4856,39129.9084995,-86652.2038445,8161.29981729,97.12,-47425.175345,0,0,-0.529562999634,89555.3038596,177953.178591,504,504,524,4856
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,4002,1,0.5458,30652.1451995,-12847.1799629,11772.0330718,109.16,17914.1252366,0,0,0.616072035252,29077.9717494,48181.8195742,-436,-436,596,5458
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,3003,0,0.5341,40289.2043722,66392.32786,2677.72232151,106.82,106788.352232,0,0,5.34417429259,19982.1986308,348640.365196,1797,1797,570,5341
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,4003,1,0.5056,43399.5278289,53780.5758762,2933.34835045,101.12,97281.2237051,0,0,2.97065667097,32747.3802866,403484.272042,1918,1918,540,5056
itch_calibrated_flow,itch-calibrated,naive symmetric,low volatility,3001,0,0.02,959.303716611,85.6839095799,0,4,1048.98762619,0,0,1.84805068311,567.618429397,445.754716,20,20,20,200
