scenario,flow_type,strategy_name,regime,metric,sample_count,mean,stddev,median,p05,p95,ci95_low,ci95_high
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,fill_rate,10,0.58714,0.0450355957981,0.5776,0.5246,0.6488,0.559226648533,0.615053351467
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,gross_spread_capture,10,17375.7333198,4040.17118109,15858.4137871,14225.0080108,25300.4374831,14871.6092782,19879.8573613
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,inventory_pnl,10,1710.73501803,14105.1662907,-3079.69134843,-11396.0156368,34190.501536,-7031.73762375,10453.2076598
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,adverse_selection_cost,10,6918.49666444,1589.23757381,7024.98886629,5089.58468372,9283.73515925,5933.47701107,7903.51631781
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,fee_pnl,10,58.714,4.50355957981,57.76,52.46,64.88,55.9226648533,61.5053351467
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,net_pnl_after_fees,10,19145.1823378,17261.6066665,11622.9734129,4635.63183156,58055.129276,8446.32768236,29844.0369932
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,risk_adjusted_pnl,10,1.7127368047,1.50861393173,1.39904175058,0.0966820075145,4.16731972496,0.777688202411,2.64778540699
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,maximum_drawdown,10,20990.7032888,20285.4137932,15031.582498,2753.49528881,69823.3069128,8417.67355913,33563.7330184
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,inventory_mean,10,49.48804,181.653787036,26.5498,-301.4296,355.9748,-63.1021436754,162.078223675
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,inventory_variance,10,31105.3015068,28062.4594424,25637.0406016,1682.69620144,80436.535765,13712.0089443,48498.5940693
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,max_abs_inventory,10,470.3,273.946892664,501.5,113,836,300.505956806,640.094043194
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,pre_liquidation_inventory,10,296.5,397.413372811,363.5,-357,836,50.1806395844,542.819360416
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,final_inventory,10,296.5,397.413372811,363.5,-357,836,50.1806395844,542.819360416
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,maker_fills,10,316.2,24.566463138,314.5,274,347,300.973548396,331.426451604
hand_chosen_flow,hand-chosen,avellaneda stoikov,high volatility,market_maker_filled_quantity,10,2935.7,225.17797899,2888,2623,3244,2796.13324267,3075.26675733
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,fill_rate,10,0.72006,0.0230435433232,0.7285,0.6914,0.7614,0.705777463877,0.734342536123
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,gross_spread_capture,10,16131.6792541,536.598889408,16240.1854564,15465.1513317,17137.0074422,15799.0918168,16464.2666915
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,inventory_pnl,10,417.870468908,1765.62097219,-139.683197279,-1767.10916672,4454.34858049,-676.472747399,1512.21368521
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,adverse_selection_cost,10,286.898517303,140.853346917,309.420042168,98.2636975066,474.481394992,199.596708409,374.200326197
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,fee_pnl,10,72.006,2.30435433232,72.85,69.14,76.14,70.5777463877,73.4342536123
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,net_pnl_after_fees,10,16621.5557231,1913.27910467,16581.6137948,13998.4834749,20970.6829206,15435.6930481,17807.4183981
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,risk_adjusted_pnl,10,30.5810763647,16.7608561659,25.4413226589,11.8828615553,68.4506362351,20.1925900851,40.9695626444
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,maximum_drawdown,10,682.193229451,326.938899491,660.485149928,235.668313765,1358.9495257,479.554400143,884.832058759
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,inventory_mean,10,8.1334,72.1461092817,1.369,-90.85,111.402,-36.5832218113,52.8500218113
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,inventory_variance,10,2689.0991884,2088.74766539,2321.65606128,497.40446896,7366.95479616,1394.47997272,3983.71840408
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,max_abs_inventory,10,156.7,47.1004836021,160.5,82,248,127.506817813,185.893182187
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,pre_liquidation_inventory,10,-6.5,143.303291425,21.5,-238,186,-95.3203002322,82.3203002322
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,final_inventory,10,-6.5,143.303291425,21.5,-238,186,-95.3203002322,82.3203002322
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,maker_fills,10,387.1,13.1186889589,388,371,405,378.968952343,395.231047657
hand_chosen_flow,hand-chosen,avellaneda stoikov,low volatility,market_maker_filled_quantity,10,3600.3,115.217716616,3642.5,3457,3807,3528.88731938,3671.71268062
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,fill_rate,10,0.6941,0.0329557615937,0.7005,0.638,0.7408,0.673673807342,0.714526192658
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,gross_spread_capture,10,15586.3518137,839.266760606,15796.649659,13923.8945524,16390.9470672,15066.1688862,16106.5347411
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,inventory_pnl,10,320.33160882,2367.00212584,15.3644552482,-2970.13402274,5550.11825201,-1146.75150823,1787.41472587
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,adverse_selection_cost,10,2671.5026916,410.798705298,2727.77053151,2150.40405425,3108.44381698,2416.88701616,2926.11836704
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,fee_pnl,10,69.41,3.29557615937,70.05,63.8,74.08,67.3673807342,71.4526192658
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,net_pnl_after_fees,10,15976.0934225,2618.36323007,15935.2941944,11409.5667202,21327.2194146,14353.215079,17598.971766
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,risk_adjusted_pnl,10,18.6708428817,20.0625793082,6.28728149621,4.47422251523,58.4749917929,6.23592739672,31.1057583666
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,maximum_drawdown,10,2056.97766288,1516.17380629,2238.2432393,261.952696685,4179.05717437,1117.24340179,2996.71192396
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,inventory_mean,10,-9.1208,63.5208425866,-5.941,-113.8296,99.8328,-48.4914261275,30.2498261275
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,inventory_variance,10,2710.21290874,2856.38570095,1678.5813008,350.7484,9652.95580336,939.80670931,4480.61910816
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,max_abs_inventory,10,153.9,85.2244748362,142.5,50,293,101.077323237,206.722676763
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,pre_liquidation_inventory,10,42.9,153.189388957,58.5,-293,248,-52.0477669646,137.847766965
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,final_inventory,10,42.9,153.189388957,58.5,-293,248,-52.0477669646,137.847766965
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,maker_fills,10,371.6,18.5244583067,375.5,344,399,360.118421789,383.081578211
hand_chosen_flow,hand-chosen,avellaneda stoikov,trending,market_maker_filled_quantity,10,3470.5,164.778807969,3502.5,3190,3704,3368.36903671,3572.63096329
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,fill_rate,10,0.58092,0.0439792072083,0.5743,0.5196,0.6404,0.553661404965,0.608178595035
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,gross_spread_capture,10,18506.4148486,3868.03647642,17143.8269024,15274.9120096,26182.6724898,16108.9810023,20903.8486948
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,inventory_pnl,10,1022.50405377,14181.3644595,-3953.15651962,-11413.1216293,33881.5178509,-7767.19670233,9812.20480987
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,adverse_selection_cost,10,6456.86669579,1532.40721112,6527.91343305,4705.8345039,8855.61297383,5507.07086615,7406.66252543
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,fee_pnl,10,58.092,4.39792072083,57.43,51.96,64.04,55.3661404965,60.8178595035
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,net_pnl_after_fees,10,19587.0109024,17217.9703655,12206.8205499,4447.73566092,58642.5882011,8915.20230648,30258.8194982
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,risk_adjusted_pnl,10,1.66806195363,1.4480929947,1.30386063201,0.104039777084,4.00373490318,0.77052461674,2.56559929051
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,maximum_drawdown,10,21545.0721926,20480.4779268,15225.7049166,2911.13104215,70780.4082607,8851.14046037,34239.0039248
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,inventory_mean,10,43.79512,189.124819106,20.606,-326.6628,361.8592,-73.4256573269,161.015897327
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,inventory_variance,10,32480.0071824,29282.157996,27634.5274201,2007.653504,82685.6921754,14330.7376242,50629.2767406
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,max_abs_inventory,10,477.5,273.265540373,508.5,121,834,308.128263331,646.871736669
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,pre_liquidation_inventory,10,287,413.64047728,357.5,-415,834,30.6229760338,543.377023966
hand_chosen_flow,hand-chosen,naive symmetric,high volatility,final_inventory,10,287,413.64047728,357.5,-415,834,30.6229760338,543.377023966
